I1,V1,I2,V2
5.01328e-08,3.36376e-05,9.87553e-05,1.00013
2.30998e-08,4.19996e-05,0.000108621,1.10002
1.50897e-08,3.36329e-05,0.000118496,1.20014
1.23453e-08,3.57246e-05,0.000128351,1.30006
1.12595e-08,3.40512e-05,0.000138206,1.40008
1.08212e-08,3.23779e-05,0.000148082,1.50008
1.06462e-08,3.53063e-05,0.000157972,1.60004
1.05298e-08,3.07046e-05,0.000167812,1.70003
1.0473e-08,3.23779e-05,0.000177684,1.80004
1.02833e-08,3.4888e-05,0.000187555,1.89995
1.02421e-08,3.27963e-05,0.000197458,2.00003
1.0145e-08,3.27963e-05,0.000207378,2.1007
9.94095e-09,3.36329e-05,0.000217262,2.20061
9.78943e-09,3.27963e-05,0.000227126,2.30073
9.70803e-09,3.27963e-05,0.000236953,2.40014
9.667e-09,3.27963e-05,0.000246835,2.5003
9.56923e-09,3.4888e-05,0.000256692,2.60016
9.41365e-09,3.02863e-05,0.000266595,2.70028
9.392e-09,3.19596e-05,0.000276412,2.80023
9.23755e-09,3.4888e-05,0.000286315,2.90048
9.03075e-09,3.19596e-05,0.000296208,3.00059
0.00010397,1.05007,5.16542e-08,3.49904e-05
0.000108917,1.10007,5.15618e-08,3.46725e-05
0.000113869,1.15009,5.14487e-08,3.48398e-05
0.000118817,1.20007,5.14597e-08,3.50741e-05
0.000123767,1.25008,5.12103e-08,3.45553e-05
0.000128714,1.30006,5.12216e-08,3.45888e-05
0.000133662,1.35004,5.11517e-08,3.45219e-05
0.000138611,1.40005,5.11011e-08,3.52414e-05
0.000143561,1.45006,5.11807e-08,3.46892e-05
0.000148512,1.50008,5.09793e-08,3.49067e-05
0.000153455,1.55003,5.1314e-08,3.43546e-05
0.000158402,1.6,5.11534e-08,3.45888e-05
0.000163351,1.64999,5.09477e-08,3.43378e-05
0.000168303,1.7,5.09495e-08,3.4388e-05
0.000173254,1.75001,5.07744e-08,3.48063e-05
0.000178203,1.80002,5.10843e-08,3.48566e-05
0.00018315,1.85,5.08082e-08,3.42876e-05
0.000188094,1.89995,5.09794e-08,3.44884e-05
0.000193045,1.94997,5.09239e-08,3.45052e-05
0.000197995,1.99998,5.10189e-08,3.43713e-05
0.000202946,2.05,5.08179e-08,3.41872e-05
0.000207895,2.09999,5.08169e-08,3.44549e-05
0.00021288,2.15022,5.04632e-08,3.4639e-05
0.000217834,2.20027,5.04824e-08,3.4639e-05
0.000222785,2.2503,5.01759e-08,3.41538e-05
0.000227738,2.30033,5.02295e-08,3.42374e-05
0.000232691,2.35037,5.00703e-08,3.42542e-05
0.000237644,2.40041,5.02412e-08,3.44549e-05
0.000242597,2.45044,4.97872e-08,3.45888e-05
0.000247514,2.50012,5.00946e-08,3.44382e-05
0.000252469,2.55017,5.00729e-08,3.44382e-05
